,Mean baseline eGFR (MDRD-4),eGFR -3 (MDRD-4),KTx- Sepsis/UTI/visit [months],BMI,Urea peak [mg/dL],eGFR -12 (MDRD-4),RBC [*10^6/ul],WBC at discharge [10^3/uL],CIT [min],dNLR on admission,PLR on admission,Potasium peak [mmol/l],AKI - KDIGO 2012,Reduction to steroid only,FSGS,Transfusion [YES/NO]
Mean baseline eGFR (MDRD-4),0.3498201930802667,0.13594579580911592,0.19948909115426794,0.22392968232197497,0.2403761730517786,0.21041581013284727,0.23811490440747107,0.2839792658985125,0.29197677199283856,0.30853598429610685,0.3060023318844429,0.30633045076142196,0.33421233475830503,0.3708051466547817,0.3287586661425853,0.36061055263203223
eGFR -3 (MDRD-4),0.10564873441786915,0.3195231316890224,0.1928445728818442,0.2106406457771257,0.2403761730517795,0.2262127785785708,0.24726735458077265,0.2773347476260897,0.2853322537204148,0.3085359842961086,0.3126468501568702,0.3063304507614246,0.34248550750140394,0.3400904871935301,0.3297237626723293,0.3327356040421194
KTx- Sepsis/UTI/visit [months],0.13887132577999406,0.16252386889881354,0.2892024277059928,0.22392968232197497,0.22708713650693024,0.23950181512342006,0.21818134959019897,0.2773347476260888,0.27868773544798753,0.28860242947883297,0.29271329533959367,0.29304141421657537,0.3225233984370087,0.30357824453745963,0.2793912262588351,0.29034921933427993
BMI,0.13887132577999317,0.1558793506263898,0.19948909115426794,0.26476183653828667,0.2137980999620801,0.23950181512342272,0.21818134959019808,0.2308231197191155,0.2363126939125637,0.2686688746615582,0.27691632689386747,0.2863968959441481,0.2737481123655514,0.24822509033504858,0.258200402546125,0.28333106781861017
Urea peak [mg/dL],0.13887132577999406,0.16916838717123817,0.1862000546094178,0.19735160923227468,0.2483153458084827,0.23034936495012026,0.15461341889347668,0.19132533021121656,0.25861516408597485,0.20923753033638715,0.21334839619714607,0.2203210333465524,0.22626805087066781,0.23993626130294576,0.2535001129900403,0.24118953294092937
eGFR -12 (MDRD-4),0.10314080251699576,0.1492348323539634,0.19284457288184242,0.21728516404954945,0.22457920460605507,0.24254518546441506,0.23147038613504733,0.2441121562639621,0.2853322537204148,0.2860944975779569,0.2968498817111458,0.29717800058812394,0.28987685978174316,0.2689080221928003,0.25517704540406416,0.2601493202149945
RBC [*10^6/ul],0.1297188756066907,0.1691683871712355,0.1704030861636907,0.19484367733139507,0.14772223736448353,0.2303493649501167,0.24142416427948776,0.19716727399797485,0.25197064581354667,0.21588204860881177,0.21334839619714785,0.22032103334655329,0.2547207383019623,0.25551696182360684,0.23778826025820793,0.24736785064343558
WBC at discharge [10^3/uL],0.13222680750757476,0.15587935062639247,0.18620005460942668,0.164129017870156,0.14107771909206512,0.19963470548887585,0.15381084440781567,0.19806773468932343,0.22309105310239197,0.20923753033639425,0.20419594602385338,0.21367651507413665,0.21922994596542278,0.20758010644094238,0.22546407081027814,0.21840953045626355
CIT [min],0.13887132577999317,0.16252386889881354,0.18620005460942046,0.16826560424169568,0.20701456514491667,0.23950181512342006,0.2072612284014861,0.221738065280487,0.19671474686742113,0.2565376970721811,0.2626856993186122,0.27710542922611214,0.23834006086315718,0.2308091884147716,0.21001076568897392,0.2029400671829047
dNLR on admission,0.1388713257799985,0.16916838717124172,0.17955553633700028,0.1840625726874281,0.141077719092066,0.22370484667770096,0.15461341889348557,0.19132533021122455,0.23997848476891015,0.18015553456415284,0.18677032310745467,0.22032103334656217,0.21953771349869866,0.2219631399268105,0.17050842982972814,0.22172280086492013
PLR on admission,0.13222680750757299,0.1691683871712426,0.17955553633699406,0.18819915905897577,0.14107771909205713,0.23034936495012293,0.14796890062105117,0.18217288003791587,0.2420156211545823,0.18265945724668597,0.17604466870339303,0.20038747852927763,0.20442290104175243,0.21890858317139295,0.20217776570572615,0.19738932803240883
Potasium peak [mmol/l],0.13222680750756943,0.16252386889881265,0.17955553633699406,0.19735160923227202,0.14772223736448176,0.23034936495011937,0.15461341889347668,0.19132533021121478,0.2561072321850988,0.21588204860881,0.20005935965229593,0.17571654982641216,0.18762111379179536,0.20455707807401713,0.1732917022057976,0.20730910379295187
AKI - KDIGO 2012,0.030800478560791156,0.06937071269513506,0.07972930761377217,0.05539461271001578,0.02436104194494071,0.09374001120008124,0.05970491090522767,0.06757054815885422,0.08803365087848736,0.08579051581730202,0.07478656922111693,0.05831290084813734,0.04640833688275292,0.02962988556091317,0.0405688545621089,0.033538834319081556
Reduction to steroid only,0.06327369288244267,0.06285609481243792,0.05666455613939991,0.02575199310469145,0.033909654802392275,0.06865157603631378,0.05638153685204905,0.05180111105954932,0.07638318085527995,0.08409634467058336,0.08515265377592929,0.07112926755553328,0.025510287986090452,0.0422887393079302,0.04594337843948759,0.02828868239477289
FSGS,0.00664451827242285,0.037906676193411926,0.017894843762949364,0.021144611217942533,0.03289081239166425,0.040337905149755215,0.024070141188826,0.0551023813310616,0.04100206403165796,0.018058940475680352,0.05383914221243735,0.025281197589490212,0.02186656288946165,0.03136068434166317,0.027706045210105834,0.027693512816154953
Transfusion [YES/NO],0.03669561979274416,0.0391177325940788,0.027052051869269178,0.044474491521302895,0.018779447373427516,0.04350939499156059,0.031848946604927875,0.046247056007922005,0.032130580556463784,0.06747252654174662,0.047249919569996024,0.05749781420751976,0.013035757677309467,0.011905203327823521,0.025892727847030117,0.025905260240981
