name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Enet,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Loger,0.0,1.0,1.0,1.0,1.0,1.0
Nearest Neighbors,0.08196721311475409,-0.08928571428571486,0.5910714285714285,0.2,0.5,0.9180327868852459
Linear SVM,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
RBF SVM,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Gaussian Process,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Decision Tree,0.01639344262295082,0.782142857142857,0.9910714285714285,1.0,0.8333333333333334,0.9836065573770492
Random Forest,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Neural Net,0.01639344262295082,0.782142857142857,0.9910714285714285,1.0,0.8333333333333334,0.9836065573770492
AdaBoost,0.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.03278688524590164,0.5642857142857141,0.8910714285714285,0.8,0.8,0.9672131147540983
QDA,0.01639344262295082,0.782142857142857,0.9,0.8,1.0,0.9836065573770492
