name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9074074074074074,1.0,0.9537037037037037
Enet,0.037037037037037035,0.8518518518518519,0.962962962962963,0.9259259259259259,1.0,0.9629629629629629
Loger,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Nearest Neighbors,0.06481481481481481,0.7407407407407407,0.9351851851851851,1.0,0.8852459016393442,0.9351851851851852
Linear SVM,0.0,1.0,1.0,1.0,1.0,1.0
RBF SVM,0.5,-1.0,0.5,0.0,0.0,0.5
Gaussian Process,0.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,0.05555555555555555,0.7777777777777778,0.9444444444444445,0.9074074074074074,0.98,0.9444444444444444
Neural Net,0.018518518518518517,0.9259259259259259,0.9814814814814815,1.0,0.9642857142857143,0.9814814814814815
AdaBoost,0.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
QDA,0.009259259259259259,0.962962962962963,0.9907407407407407,0.9814814814814815,1.0,0.9907407407407407
