name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.4166666666666667,-0.6666666666666667,0.5833333333333334,0.2037037037037037,0.8461538461538461,0.5833333333333334
Enet,0.4166666666666667,-0.6666666666666667,0.5833333333333334,0.2037037037037037,0.8461538461538461,0.5833333333333334
Loger,0.3425925925925926,-0.37037037037037046,0.6574074074074074,0.35185185185185186,0.9047619047619048,0.6574074074074074
Nearest Neighbors,0.10185185185185185,0.5925925925925926,0.8981481481481481,1.0,0.8307692307692308,0.8981481481481481
Linear SVM,0.10185185185185185,0.5925925925925926,0.898148148148148,0.8703703703703703,0.9215686274509803,0.8981481481481481
RBF SVM,0.49074074074074076,-0.962962962962963,0.5092592592592593,0.018518518518518517,1.0,0.5092592592592593
Gaussian Process,0.10185185185185185,0.5925925925925926,0.8981481481481481,0.8518518518518519,0.9387755102040817,0.8981481481481481
Decision Tree,0.10185185185185185,0.5925925925925926,0.8981481481481481,0.8888888888888888,0.9056603773584906,0.8981481481481481
Random Forest,0.05555555555555555,0.7777777777777778,0.9444444444444445,0.9259259259259259,0.9615384615384616,0.9444444444444444
Neural Net,0.2037037037037037,0.18518518518518523,0.7962962962962963,0.6481481481481481,0.9210526315789473,0.7962962962962963
AdaBoost,0.06481481481481481,0.7407407407407407,0.9351851851851851,0.8888888888888888,0.9795918367346939,0.9351851851851852
Naive Bayes,0.1111111111111111,0.5555555555555556,0.888888888888889,0.8148148148148148,0.9565217391304348,0.8888888888888888
QDA,0.12037037037037036,0.5185185185185186,0.8796296296296297,0.7962962962962963,0.9555555555555556,0.8796296296296297
