name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Enet,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Loger,0.018518518518518517,0.9259259259259259,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9814814814814815
Nearest Neighbors,0.05555555555555555,0.7777777777777778,0.9444444444444444,1.0,0.9,0.9444444444444444
Linear SVM,0.018518518518518517,0.9259259259259259,0.9814814814814815,1.0,0.9642857142857143,0.9814814814814815
RBF SVM,0.1111111111111111,0.5555555555555556,0.8888888888888888,0.7777777777777778,1.0,0.8888888888888888
Gaussian Process,0.018518518518518517,0.9259259259259259,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9814814814814815
Decision Tree,0.037037037037037035,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629
Random Forest,0.027777777777777776,0.8888888888888888,0.9722222222222222,1.0,0.9473684210526315,0.9722222222222222
Neural Net,0.027777777777777776,0.8888888888888888,0.9722222222222222,0.9814814814814815,0.9636363636363636,0.9722222222222222
AdaBoost,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Naive Bayes,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9259259259259259,0.9803921568627451,0.9537037037037037
QDA,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9074074074074074,1.0,0.9537037037037037
