name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.5,-1.0,0.5,0.0,0.0,0.5
Enet,0.49074074074074076,-0.962962962962963,0.5092592592592593,0.018518518518518517,1.0,0.5092592592592593
Loger,0.4166666666666667,-0.6666666666666667,0.5833333333333334,0.16666666666666666,1.0,0.5833333333333334
Nearest Neighbors,0.12962962962962962,0.4814814814814815,0.8703703703703703,0.9444444444444444,0.8225806451612904,0.8703703703703703
Linear SVM,0.25925925925925924,-0.03703703703703698,0.7407407407407407,0.7777777777777778,0.7241379310344828,0.7407407407407407
RBF SVM,0.24074074074074073,0.03703703703703709,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.7592592592592593
Gaussian Process,0.046296296296296294,0.8148148148148149,0.9537037037037036,0.9814814814814815,0.9298245614035088,0.9537037037037037
Decision Tree,0.1388888888888889,0.4444444444444444,0.8611111111111112,0.8518518518518519,0.8679245283018868,0.8611111111111112
Random Forest,0.12962962962962962,0.4814814814814815,0.8703703703703705,0.8333333333333334,0.9,0.8703703703703703
Neural Net,0.23148148148148148,0.07407407407407407,0.7685185185185186,0.7777777777777778,0.7636363636363637,0.7685185185185185
AdaBoost,0.1388888888888889,0.4444444444444444,0.8611111111111112,0.8888888888888888,0.8421052631578947,0.8611111111111112
Naive Bayes,0.17592592592592593,0.2962962962962963,0.8240740740740741,0.9444444444444444,0.7611940298507462,0.8240740740740741
QDA,0.5,-1.0,0.5,0.0,0.0,0.5
