name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Enet,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Loger,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Nearest Neighbors,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Linear SVM,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
RBF SVM,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Gaussian Process,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Decision Tree,0.09836065573770492,-0.3071428571428576,0.6732142857142857,0.4,0.4,0.9016393442622951
Random Forest,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Neural Net,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
AdaBoost,0.08196721311475409,-0.08928571428571486,0.5910714285714285,0.2,0.5,0.9180327868852459
Naive Bayes,0.16393442622950818,-1.1785714285714297,0.5464285714285714,0.2,0.14285714285714285,0.8360655737704918
QDA,0.09836065573770492,-0.3071428571428576,0.5821428571428571,0.2,0.3333333333333333,0.9016393442622951
