name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.05555555555555555,0.7777777777777778,0.9444444444444444,0.8888888888888888,1.0,0.9444444444444444
Enet,0.05555555555555555,0.7777777777777778,0.9444444444444444,0.8888888888888888,1.0,0.9444444444444444
Loger,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Nearest Neighbors,0.027777777777777776,0.8888888888888888,0.9722222222222222,1.0,0.9473684210526315,0.9722222222222222
Linear SVM,0.0,1.0,1.0,1.0,1.0,1.0
RBF SVM,0.5,-1.0,0.5,0.0,0.0,0.5
Gaussian Process,0.18518518518518517,0.2592592592592593,0.8148148148148149,0.9074074074074074,0.765625,0.8148148148148148
Decision Tree,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9074074074074074,1.0,0.9537037037037037
Neural Net,0.018518518518518517,0.9259259259259259,0.9814814814814815,1.0,0.9642857142857143,0.9814814814814815
AdaBoost,0.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
QDA,0.009259259259259259,0.962962962962963,0.9907407407407407,0.9814814814814815,1.0,0.9907407407407407
