name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.4444444444444444,-0.7777777777777777,0.5555555555555556,0.14814814814814814,0.8,0.5555555555555556
Enet,0.4537037037037037,-0.8148148148148149,0.5462962962962963,0.12962962962962962,0.7777777777777778,0.5462962962962963
Loger,0.4166666666666667,-0.6666666666666667,0.5833333333333334,0.2037037037037037,0.8461538461538461,0.5833333333333334
Nearest Neighbors,0.12962962962962962,0.4814814814814815,0.8703703703703703,0.9814814814814815,0.803030303030303,0.8703703703703703
Linear SVM,0.14814814814814814,0.40740740740740744,0.8518518518518519,0.8148148148148148,0.88,0.8518518518518519
RBF SVM,0.46296296296296297,-0.8518518518518519,0.537037037037037,0.07407407407407407,1.0,0.5370370370370371
Gaussian Process,0.027777777777777776,0.8888888888888888,0.9722222222222222,0.9814814814814815,0.9636363636363636,0.9722222222222222
Decision Tree,0.10185185185185185,0.5925925925925926,0.898148148148148,0.8703703703703703,0.9215686274509803,0.8981481481481481
Random Forest,0.12037037037037036,0.5185185185185186,0.8796296296296295,0.8148148148148148,0.9361702127659575,0.8796296296296297
Neural Net,0.12962962962962962,0.4814814814814815,0.8703703703703703,1.0,0.7941176470588235,0.8703703703703703
AdaBoost,0.05555555555555555,0.7777777777777778,0.9444444444444445,0.9259259259259259,0.9615384615384616,0.9444444444444444
Naive Bayes,0.10185185185185185,0.5925925925925926,0.8981481481481483,0.8333333333333334,0.9574468085106383,0.8981481481481481
QDA,0.09259259259259259,0.6296296296296297,0.9074074074074073,0.8888888888888888,0.9230769230769231,0.9074074074074074
