name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.4166666666666667,-0.6666666666666667,0.5833333333333334,0.16666666666666666,1.0,0.5833333333333334
Enet,0.4166666666666667,-0.6666666666666667,0.5833333333333334,0.16666666666666666,1.0,0.5833333333333334
Loger,0.24074074074074073,0.03703703703703709,0.7592592592592593,0.5555555555555556,0.9375,0.7592592592592593
Nearest Neighbors,0.09259259259259259,0.6296296296296297,0.9074074074074073,0.9629629629629629,0.8666666666666667,0.9074074074074074
Linear SVM,0.08333333333333333,0.6666666666666667,0.9166666666666667,0.9259259259259259,0.9090909090909091,0.9166666666666666
RBF SVM,0.07407407407407407,0.7037037037037037,0.9259259259259259,0.8518518518518519,1.0,0.9259259259259259
Gaussian Process,0.027777777777777776,0.8888888888888888,0.9722222222222222,0.9814814814814815,0.9636363636363636,0.9722222222222222
Decision Tree,0.1111111111111111,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
Random Forest,0.08333333333333333,0.6666666666666667,0.9166666666666667,0.9074074074074074,0.9245283018867925,0.9166666666666666
Neural Net,0.08333333333333333,0.6666666666666667,0.9166666666666666,0.8888888888888888,0.9411764705882353,0.9166666666666666
AdaBoost,0.05555555555555555,0.7777777777777778,0.9444444444444445,0.9074074074074074,0.98,0.9444444444444444
Naive Bayes,0.14814814814814814,0.40740740740740744,0.8518518518518519,0.7592592592592593,0.9318181818181818,0.8518518518518519
QDA,0.10185185185185185,0.5925925925925926,0.8981481481481481,0.8148148148148148,0.9777777777777777,0.8981481481481481
