name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.01639344262295082,0.782142857142857,0.9,0.8,1.0,0.9836065573770492
Enet,0.01639344262295082,0.782142857142857,0.9,0.8,1.0,0.9836065573770492
Loger,0.03278688524590164,0.5642857142857141,0.9821428571428572,1.0,0.7142857142857143,0.9672131147540983
Nearest Neighbors,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Linear SVM,0.0,1.0,1.0,1.0,1.0,1.0
RBF SVM,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Gaussian Process,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Decision Tree,0.01639344262295082,0.782142857142857,0.9910714285714285,1.0,0.8333333333333334,0.9836065573770492
Random Forest,0.09836065573770492,-0.3071428571428576,0.49107142857142855,0.0,0.0,0.9016393442622951
Neural Net,0.01639344262295082,0.782142857142857,0.9910714285714285,1.0,0.8333333333333334,0.9836065573770492
AdaBoost,0.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.01639344262295082,0.782142857142857,0.9910714285714285,1.0,0.8333333333333334,0.9836065573770492
QDA,0.0,1.0,1.0,1.0,1.0,1.0
