name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Enet,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Loger,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Nearest Neighbors,0.09836065573770492,-0.3071428571428576,0.49107142857142855,0.0,0.0,0.9016393442622951
Linear SVM,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
RBF SVM,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Gaussian Process,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Decision Tree,0.11475409836065574,-0.5250000000000006,0.5732142857142857,0.2,0.25,0.8852459016393442
Random Forest,0.08196721311475409,-0.08928571428571486,0.5,0.0,0.0,0.9180327868852459
Neural Net,0.09836065573770492,-0.3071428571428576,0.49107142857142855,0.0,0.0,0.9016393442622951
AdaBoost,0.08196721311475409,-0.08928571428571486,0.5910714285714285,0.2,0.5,0.9180327868852459
Naive Bayes,0.13114754098360656,-0.7428571428571435,0.7464285714285716,0.6,0.3333333333333333,0.8688524590163934
QDA,0.09836065573770492,-0.3071428571428576,0.5821428571428571,0.2,0.3333333333333333,0.9016393442622951
