name&mse&r2&roc&recall&precission&accurarcy
Lasso&0.016393442622951&0.782142857142857&0.9&0.8&1&0.983606557377049
Enet&0.016393442622951&0.782142857142857&0.9&0.8&1&0.983606557377049
Loger&0.032786885245902&0.564285714285714&0.982142857142857&1&0.714285714285714&0.967213114754098
Nearest Neighbors&0.081967213114754&-0.089285714285715&0.5&0&0&0.918032786885246
Linear SVM&0&1&1&1&1&1
RBF SVM&0.081967213114754&-0.089285714285715&0.5&0&0&0.918032786885246
Gaussian Process&0.081967213114754&-0.089285714285715&0.5&0&0&0.918032786885246
Decision Tree&0.016393442622951&0.782142857142857&0.991071428571428&1&0.833333333333333&0.983606557377049
Random Forest&0.081967213114754&-0.089285714285715&0.5&0&0&0.918032786885246
Neural Net&0.032786885245902&0.564285714285714&0.982142857142857&1&0.714285714285714&0.967213114754098
AdaBoost&0&1&1&1&1&1
Naive Bayes&0.016393442622951&0.782142857142857&0.991071428571428&1&0.833333333333333&0.983606557377049
QDA&0.016393442622951&0.782142857142857&0.9&0.8&1&0.983606557377049
