name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.037037037037037035,0.8518518518518519,0.962962962962963,0.9259259259259259,1.0,0.9629629629629629
Enet,0.009259259259259259,0.962962962962963,0.9907407407407407,0.9814814814814815,1.0,0.9907407407407407
Loger,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Nearest Neighbors,0.037037037037037035,0.8518518518518519,0.962962962962963,1.0,0.9310344827586207,0.9629629629629629
Linear SVM,0.0,1.0,1.0,1.0,1.0,1.0
RBF SVM,0.48148148148148145,-0.9259259259259258,0.5185185185185185,0.037037037037037035,1.0,0.5185185185185185
Gaussian Process,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Decision Tree,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,0.1111111111111111,0.5555555555555556,0.888888888888889,0.8518518518518519,0.92,0.8888888888888888
Neural Net,0.027777777777777776,0.8888888888888888,0.9722222222222222,1.0,0.9473684210526315,0.9722222222222222
AdaBoost,0.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
QDA,0.009259259259259259,0.962962962962963,0.9907407407407407,0.9814814814814815,1.0,0.9907407407407407
