name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.4444444444444444,-0.7777777777777777,0.5555555555555556,0.14814814814814814,0.8,0.5555555555555556
Enet,0.4444444444444444,-0.7777777777777777,0.5555555555555556,0.14814814814814814,0.8,0.5555555555555556
Loger,0.35185185185185186,-0.40740740740740744,0.6481481481481481,0.3333333333333333,0.9,0.6481481481481481
Nearest Neighbors,0.1574074074074074,0.37037037037037035,0.8425925925925926,0.9629629629629629,0.7761194029850746,0.8425925925925926
Linear SVM,0.1111111111111111,0.5555555555555556,0.888888888888889,0.8518518518518519,0.92,0.8888888888888888
RBF SVM,0.48148148148148145,-0.9259259259259258,0.5185185185185185,0.037037037037037035,1.0,0.5185185185185185
Gaussian Process,0.009259259259259259,0.962962962962963,0.9907407407407408,1.0,0.9818181818181818,0.9907407407407407
Decision Tree,0.10185185185185185,0.5925925925925926,0.898148148148148,0.8703703703703703,0.9215686274509803,0.8981481481481481
Random Forest,0.05555555555555555,0.7777777777777778,0.9444444444444445,0.9259259259259259,0.9615384615384616,0.9444444444444444
Neural Net,0.08333333333333333,0.6666666666666667,0.9166666666666666,0.9444444444444444,0.8947368421052632,0.9166666666666666
AdaBoost,0.10185185185185185,0.5925925925925926,0.8981481481481481,0.8888888888888888,0.9056603773584906,0.8981481481481481
Naive Bayes,0.08333333333333333,0.6666666666666667,0.9166666666666667,0.8703703703703703,0.9591836734693877,0.9166666666666666
QDA,0.10185185185185185,0.5925925925925926,0.8981481481481481,0.8518518518518519,0.9387755102040817,0.8981481481481481
