name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.4166666666666667,-0.6666666666666667,0.5833333333333333,0.18518518518518517,0.9090909090909091,0.5833333333333334
Enet,0.4074074074074074,-0.6296296296296295,0.5925925925925926,0.2037037037037037,0.9166666666666666,0.5925925925925926
Loger,0.2962962962962963,-0.18518518518518512,0.7037037037037037,0.46296296296296297,0.8928571428571429,0.7037037037037037
Nearest Neighbors,0.10185185185185185,0.5925925925925926,0.8981481481481481,1.0,0.8307692307692308,0.8981481481481481
Linear SVM,0.12962962962962962,0.4814814814814815,0.8703703703703702,0.8703703703703703,0.8703703703703703,0.8703703703703703
RBF SVM,0.12037037037037036,0.5185185185185186,0.8796296296296297,0.7592592592592593,1.0,0.8796296296296297
Gaussian Process,0.046296296296296294,0.8148148148148149,0.9537037037037037,1.0,0.9152542372881356,0.9537037037037037
Decision Tree,0.07407407407407407,0.7037037037037037,0.925925925925926,0.8888888888888888,0.96,0.9259259259259259
Random Forest,0.08333333333333333,0.6666666666666667,0.9166666666666667,0.8333333333333334,1.0,0.9166666666666666
Neural Net,0.046296296296296294,0.8148148148148149,0.9537037037037036,0.9814814814814815,0.9298245614035088,0.9537037037037037
AdaBoost,0.06481481481481481,0.7407407407407407,0.9351851851851852,0.9259259259259259,0.9433962264150944,0.9351851851851852
Naive Bayes,0.14814814814814814,0.40740740740740744,0.8518518518518519,0.7962962962962963,0.8958333333333334,0.8518518518518519
QDA,0.06481481481481481,0.7407407407407407,0.9351851851851852,0.9444444444444444,0.9272727272727272,0.9351851851851852
